Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Gifted	2017	drama	Marc Webb	Marc Webb (director); Tom Flynn (screenplay); Chris Evans, Mckenna Grace, Jenny Slate, Lindsay Duncan, Octavia Spencer	"In a small town near Tampa, Florida, seven-year-old Mary Adler lives with uncle and de facto guardian, Frank. Her best friend is her 40-ish neighbor, Roberta. On her first day of first grade, she shows remarkable mathematical talent, which impresses her teacher, Bonnie Stevenson. There, despite her initial disdain for average children her own age and her boredom with their classwork, she begins to bond with them when she brings her one-eyed cat, Fred, for show-and-tell and later defends a classmate from a bully on the bus. Mary is offered a scholarship to a private school for gifted children. However, Frank turns it down. Based on his family's experiences with similar schools, he fears Mary will not have a chance at a ""normal"" childhood.
It emerges that Mary's mother, Diane, had been a promising mathematician, dedicated to the Navier–Stokes problem (one of the unsolved Millennium Prize Problems) before taking her own life when Mary was six months old. Mary has lived with Frank, a former college professor turned boat repairman, ever since.
Frank's estranged mother and Mary's maternal grandmother, Evelyn, seeks to gain custody of Mary and move her to Massachusetts, believing that Mary is a ""one-in-a-billion"" mathematical prodigy who should be specially tutored in preparation for a life devoted to mathematics, much as Diane was. However, Frank is adamant that his sister would want Mary to be in a normal public school and have the childhood she didn't have. Worried that the judge will rule against him and he will lose Mary completely, Frank accepts a compromise brokered by his lawyer Greg Cullen that sees Mary placed in foster care and attend the private school where Evelyn wants to have her enrolled. The foster parents live just 25 minutes from Frank's home, Frank will be entitled to scheduled visits, and Mary will be able to decide where she wants to live after her 12th birthday.
Mary is devastated at being placed in foster care, and her foster father says she refuses to see Frank. When Bonnie sees a picture of Fred up for adoption, she alerts Frank. Frank retrieves the cat from the pound and, learning that Fred was brought in due to allergy issues, realizes that Evelyn—who is allergic to cats—is overseeing Mary's education in the guest house of Mary's foster home. He then reveals to Evelyn—who had been a mathematician herself—that Diane had solved the Navier–Stokes problem, but stipulated that the solution was to be withheld until Evelyn's death. Knowing that it meant everything to Evelyn to see Diane solve the problem, Frank offers to publish Diane's work if Evelyn drops her objection to him having custody of Mary. Evelyn reluctantly agrees.
The film ends with Mary back in the custody of Frank, returning to public school while taking college-level courses in the mornings."	American
Suki ni Naru Sono Shunkan o	2016	drama	Tetsuya Yanagisawa	Momo Asakura, Natsuki Hanae, Tsubasa Yonaga, Yoshimasa Hosoya, Yoshitsugu Matsuoka, Nao Tōyama	"This is the second part of anime movie Zutto Mae Kara Suki Deshita , which is centered around a group of high school friends who struggle to confess their love to their significant crushes. The movie is filling the missing details in the first movie and highlights the feelings of Kotaro Enomoto.
This movie starts with Hina Setoguchi the younger sister of Yu Setoguchi (one of the main character of the first movie) narrating her first meeting with Koyuki Ayase which she described as being a disaster. She had mistakenly tripped him with her cleaning broom in the school hallway and upon falling face flat on the floor, he mistakenly saw her pantie.Taking him as a pervert, Hina chased him down the hallway demanding an apology. While restraining him against the hallway wall, Natsuki Enomoto an upperclassman arrived and recognizes Koyuki as her classmate prompting Hina to apologize to Koyuki for being disrespectful towards him. Nevertheless, Koyuki forgave Hina instantly which left a deep impression on Hina and thus marked the beginning of her crush for him.
Kotaro Enomoto, Hina's childhood friend and Natsuki's younger brother starts Morning thinking of Hina and getting teased by his sister. He then went on to have a friendly argument with Hina outside before they both raced each other to school. At school, Hina starts noticing Koyuki senpai more and more which doesn't go unnoticed by Kotaro and another classmate Arisa Takamizawa. Wanting to confirm if indeed Hina has a crush on Koyuki senpai, Arisa decides to playfully interrupt Hina whenever she and Kyoki senpai are together. This constant interruption angers Hina deeply and made her realize she was in love with Koyuki senpai.
As upperclassmen, Koyuki Ayase, Yu Setoguchi, and Natsuki Enomoto are all graduating middle school and are moving on to high school. This saddens Hina and prompt her into talking with Koyuki senpai about his school choice eventually resulting in her crying and taking a picture with him as a memento. Wanting to see her senpai again, Hina studied hard to get into the same high school as Koyuki senpai however Kotaro who has secretly loved Hina from the beginning was jealous of her love for senpai. Because he wanted to be around hina, he also decided to study hard and get into the same school.
Hina and Kotaro succeeded in getting into senpai's high school. There they meet Hina's brother Yu and Kotaro's sister Natsuki who introduced Hina to her fellow senior classmates Mio Aida, and Akari Hayasaka who is admired by Sota Mochizuki a classmate. eager to see her beloved senpai again, hina searched for him all around the school and finally located him watering flowers in the school yard. Happy to be reunited with her senpai, Hina joined Him while he continued watering the flowers. Kotaro walked by and saw them together, he walked away from the scene brokenhearted.
Hina's first term in high school went by with no significant improvement between her and senpai. she vows to successfully confess her feelings for him during her second term. With a new mindset and determination, Hina puts on make up every morning in hopes of talking to senpai and getting him to notice her. Upon arriving at school, Hina was shocked to see senpai had change his image from being dorky to sexy. Hina soon realized the reason Koyuki senpai changed his image was because he was in love with Natsuki Enomoto and wanted to be noticed by her.
At home, Kotaro reminisce his childhood days with Hina and how they grew up doing everything together. Although he is hurt by Hina's love toward Koyuki senpai, he outwardly admit to himself he love Hina deeply and wants to make her happy even if it means she will never love him.
After a scene in cafe, where a question and answer section which made Hina uncomfortable Arisa stood up for her, she made a good friendship with Hina, Miou-chan meets with Hina and encourages her to tell her feeling to Koyuki. She decides to write a love letter for Koyuki.
After the scene in part 1 where Natsuki confesses her last practice confession which was the excuse made to Yu in part 1 she confess all the feels that it was true and not a practice and Yu hugging Natsuki, Hina met Koyuki and confessed her love even though she realized that his heart was broken at that time .
Koyuki considered it as something that is for making him feel normal, even though it was her true feeling. Seeing Hina cry Kotaro which was hiding there because Arisa told him that she was acting weird (it was a scene where Arisa opens her to some one that she was alone and Kotaro and Hina was the good friends that she had because of her old experience) he get angry with Koyuki and that time he admits to himself and others that he is in love with Hina.
The movie credits are shown but the story does not end here, between credits there is a scene where Natsuki and Yu invites Kotaro and Hina for a double date. It was that time after an argue regarding brother sister love complex he confesses his love to her and she stops running. And then in response saying “I know”. In which confusing him. Then when Natsuki and Yu question why they’re so slow then comments on how red he looks. Hina runs along with Natsuki and Yu with Kotaro having to run to catch up.
The movie ends with a happy ending."	Japanese
Heartfall Arises	2016	drama	Ken Wu	Nicholas Tse, Sean Lau, Tong Liya	Heartfall Arises follows two Chinese chess masters who have been entangled in several serial murder cases in relation to the effect of organ transplants. John Ma (Nicholas Tse) a brave cop, and Calvin Che (Sean Lau) a criminal psychologist brought together are under the great threat and struggle to define all means evolved from the killings. Their final confrontation will uncover the lead behind the scene but will also put numerous innocent people in great danger than it is ever known before.	Chinese
Genocidal Organ	2017	drama	Shūkō Murase	Yuichi Nakamura, Satoshi Mikami, Kaito Ishikawa, Yūki Kaji, Sanae Kobayashi, Akio Ōtsuka	When Sarajevo was destroyed by a homemade nuclear weapon, the leading democracies of the world transformed into surveillance states, while developing countries endured a multitude of genocides. Intelligence agent Clavis Shepherd must track down the man who seems to be responsible, American John Paul.	Japanese
The Only Living Boy in New York	2017	drama	Marc Webb	Marc Webb (director); Allan Loeb (screenplay); Callum Turner, Kate Beckinsale, Pierce Brosnan, Cynthia Nixon, Jeff Bridges, Kiersey Clemons, Debi Mazar, Bill Camp, Tate Donovan	"Thomas Webb (Callum Turner) is a college graduate who is still trying to figure out what he wants to do with his life and has a one-sided crush on his friend Mimi (Kiersey Clemons). One day, he meets his new neighbour, W.F. (Jeff Bridges), with whom he suddenly feels a connection. Thomas begins to spend time with W.F. and tells him about his life.
When Thomas hangs out in a bar with Mimi one day, they see his father, Ethan (Pierce Brosnan) together with another woman (Kate Beckinsale). Fearing that the affair would take a toll on his already mentally unstable mother, Judith (Cynthia Nixon), Thomas starts to follow and finally confronts the woman. He is surprised when the other woman, Johanna, actually knows who Thomas is. She tells him that she is a freelance editor working with his father and knows Thomas from his picture in Ethan's office. After some time following and pleading with her to leave his father, Johanna mentions that Thomas is still a child who doesn't know anything, including the fact that he actually wants to sleep with her. Telling this to W.F., W.F. asks if he really wants to sleep with her and Thomas reluctantly says that he does.
When attending a friend's party, Thomas bumps into Johanna with another man. Having an argument after Thomas makes a crude remark about her, Thomas surprisingly kisses her which ends up with them making out passionately. An affair starts and Thomas begins to fall for Johanna. He tells her that since he was a child, he has aspired to be a writer but Thomas's dream was crushed when his father told him that his essays were only serviceable.
One day, when Thomas looks for W.F. in his apartment, he finds a manuscript titled The Only Living Boy in New York and that W.F. is actually a successful (although somewhat reclusive) writer. Thomas shows him his essays, and W.F. tells him that he does have a talent for writing. Thomas invites W.F. to a party at his father's publishing company to which the writer reluctantly agrees. Thomas goes together with Mimi who begins to show feelings towards him. She asks him if he is having an affair with Johanna, which he denies. Thomas sees W.F. at the party and wants to introduce him to his mother, but W.F. suddenly disappears. Later, W.F. meets with Johanna and warns her not to hurt Thomas.
Johanna ends her relationship with Thomas, because Ethan has proposed to her. Angered by this, Thomas confronts his father while Johanna tries to dissuade him. Ethan is angered and leaves the room. Johanna tearfully tells Thomas that she really is in love with Ethan. She tells him that Thomas really doesn't know anything, and shows a picture of Thomas in a tennis match, with W.F. captured in the background.
Thomas confronts W.F. and he tells him that he was a close friend of his parents. As Ethan is infertile, he and Judith asked W.F. for a favor: to conceive a child with Judith. Spending a drunken night together, W.F. realized that he is in love with Judith, and so he left her. He has always watched Thomas from afar, hoping to connect with his son. Upon returning home, Thomas finds that Ethan has already ended his relationship with Judith. He tells his mother that he's been in contact with W.F., and that he knows Judith has been in love with W.F. for 25 years.
One year later, Thomas is working in a bookstore, while trying to get his writing published. Ethan comes to the bookstore and the two catch up. Ethan offers to help Thomas using his connections, which Thomas declines. Thomas asks if Ethan is still in contact with Johanna, and he says no but admits he's lying. Thomas finds Judith at a reading, listening while W. F. reads The Only Living Boy in New York. Thomas watches them and smiles, as his mother has finally found her happiness."	American
Tharlo	2016	drama	Pema Tseden	Shide Nyima, Yangshik Tso	"Sheep herder Tharlo (Shide Nyima) or commonly known as ""Ponytail"" for his trademark hairstyle, goes to town to get an ID card photo as ordered by police chief Dorje (Tashi). Having lived all his life alone in the mountains, he is shocked to meet a modern young hairdresser Yangtso (Yang Shik Tso), who not only sports short hair but smokes. Yangtso flirts and even suggests travelling plans with him. Tharlo returns to the mountain but not for long. One day, due to his carelessness, his sheep are killed by wolves, which angers the sheep owner who not only scolds but slaps him repeatedly. Soon, Tharlo returns to town with stacks of cash from selling his sheep, places the money in front of and asks Yangtso to keep it. But his desire for a new life with her is dashed when he wakes up next morning to find her missing.[6][7][8][9][10]
After failing to find her, Tharlo looks for chief Dorje at the police station. However, before he can reveal the intention of his visit, he is ordered to town again – to get a new ID card photo, by chief Dorje when he realises the ""bald"" Tharlo, who has shaven upon Yangtso's request, looks different from his new ID card's photo. Speechless, Tharlo slowly walks out of the police station and heads out to the mountain."	Chinese
The Bodyguard	2016	drama	Yue Song	Yue Song, Xing Yu, Li Yufei, Collin Chou, Michael Chan, Shang Tielong, Xu Dongmei, Yang Jun, Li Changhai, Jiang Baocheng, Yuan Wu, Dong Jiangtao	"""The bodyguard"" is a mixture of action-packed Kung Fu film and drama. Wu-Lin, the protagonist chose the dark path to seek for revenge, and take the law in his own hands. Wu-Lin is not just a regular man from the rural village, he is also the Successor of an ancient, once powerful Chinese clan, the ""Iron Feet"". After the death of the clan master, Wu-Lin left the village and come to the City of Stone-cold to look for his fellow apprentice Jiang Li. He turn out become the bodyguard of Fei-Fei, the daughter of Jia-Shan Li, the richest family in the city. A clash of an unruly rich girl with a rugged and masculin bodyguard, sparks the flame of true love. Wu-Lin soon discovered that a group of mobster led by Jiang Li, attempts to kidnap Fei-Fei. To protect his love one, Wu-Lin forced to fight them alone. Brutally crushed, but Wu-Lin managed to survive, he took off his iron-shoes, and feel the adrenaline rush into his body again. Wu-Lin decided to face the group of mobsters once more, and he knows someone much bigger, stronger than Jiang Li is behind the evil plot."	Chinese
Assassination Classroom: Graduation	2016	drama	Takeshi Furusawa	Ryosuke Yamada, Kazunari Ninomiya, Masaki Suda, Seika Taketomi, Mio Yūki, Miku Uehara	"It has been six months since the start of senior year, and yet the Class 3-E of Kunugigaoka High School has not been able to assassinate their tentacled teacher, Koro-sensei, who will blow up the Earth on graduation day. Due to the school festival to be held, assistant teacher Tadaomi Karasuma instructs the class to give all they got, since Koro-sensei will be distracted, making him an easy target of killing. Karasuma also insists that the class should assassinate Koro-sensei before the government-sponsored assassin Red Eye do the same. However, neither the students nor Red Eye are ultimately able to do the task, and Koro-sensei even convinces Red Eye to give up his job for the sake of his students.
At the end of the school festival, Kaede Kayano catches Koro-sensei off guard and begins her assault by revealing her tentacles. She reveals her true identity to be a child actress named Akari Yukimura and the younger sister of Aguri, the class' former teacher and the one whom Koro-sensei promised to teach the class for. She wants to take revenge against Koro-sensei for having supposedly killed her sister. Knowing that the experimental tentacles she wears is taxing her life force, Nagisa Shiota manages to calm her down. He distracts her with a kiss and disables the tentacles.
Koro-sensei then tells the class about his past: as a human, he was an assassin known as ""the Reaper"". Due to his strength and intelligence, two years ago, a rogue organization led by Dr. Kōtarō Yanagisawa took him as a second guinea pig (a mouse being used as the first) for the testing of a chemical capable of stimulating growth in plants. The Reaper was supervised by Yanagisawa's fiancée, Aguri, with whom he developed a close relationship, especially after she revealed her circumstances as a teacher. When Yanagisawa found out that the mouse tested on the Moon had destroyed it, he ordered the disposal of the Reaper before he could do the same to the Earth. Aguri prevented the execution but was mortally injured and died in the Reaper's arms; this action pulled the Reaper from succumbing to the madness his experimentation caused, leading him to make a vow to teach Class 3-E.
Nagisa decides to find an alternative besides killing Koro-sensei after hearing the story. Having to deal with several opponents, Karma Akabane included, on the plan, he compromises it by saying that should the plan fail, he will kill Koro-sensei himself. The class begin to work on an antidote mapped by a file Nagisa, Karma and Itona steal from Yanagisawa's labs. However, the government has planned to use a laser ignited by a satellite as a last resort to kill Koro-sensei. The government agents kidnap the class, but they manage to escape with the help of Karasuma and Irina Jelavić.
However, to their dismay, the class find out that they have been tricked by Yanagisawa, as the stolen file was faked. Yanagisawa proceeds to inject artificial tentacles, transforming himself into a monstrous being. Seeing him easily defeating Koro-sensei, Akari attempts to defend him, only to get injured in the process. Angered of having to see a repeat of the tragedy two years before, Koro-sensei creates a bomb that obliterates Yanagisawa. He does a surgery that heals Akari, having developed it since his failure in saving Aguri, then tells the class that they should kill him soon. In tears, Nagisa volunteers for the task.
Several years later, Nagisa has become a teacher in a school for delinquents. A delinquent tries to intimidate him, which Nagisa responds by silently threatening him."	Japanese
Murmur of the Hearts	2015	drama	Sylvia Chang	Joseph Chang, Isabella Leong, Lawrence Ko, Angelica Lee	Yu-mei (Isabella Leong) and Yu-nan (Lawrence Ko) were born on the small and isolated Green Island off the east coast of Taiwan. They grew up listening to bed stories about a mermaid told by their mother (Angelica Lee). Now a painter based in Taipei, Yu-mei is in a rocky relationship with aspiring boxer Hsiang (Joseph Chang). She is also seeing a counselor for her anger towards her mother, which is making her see hallucinations and have trouble sleeping. It is revealed that her mother took her and left the island when she was a child, eventually operating a restaurant in Taiwan and becoming another man's mistress in Taiwan. After her mother died, she overheard her father saying he doesn't want to hear anything about her or her mother. To make matters worse, she is currently pregnant and she thinks Hsiang doesn't want children with her. While she is battling her own emotions, Hsiang is desperately trying to make it to the boxing competition. But he is losing sight in one of his eyes and when the fact is discovered by his coach, he is pulled off the matches and disqualified from being a boxer. One day, while the couple is having a meal in a restaurant, Yu-mei is overcome with emotions when she recognizes the restaurant as the one her mother used to own. She finally confesses that she is pregnant and Hsiang is grim but holds her hand. Meanwhile, at the same time, Yu-nan is now a travel agent working between Green Island and Taiwan. He too is troubled by memories of his mother, thinking she abandoned him because she liked Yu-mei better. As the film progresses, they all manage to let go of their demons and come to peace on their own. Years pass and Yu-nan stumbles into Yu-mei's daughter Hai, who is all grown up, and Hsiang in a bookstore where Yu-mei is doing a signing. Hai shows Yu-nan the book her mother authored and when he reads it, he recognizes it as the story of his childhood. Yu-nan meets her and they smile, having reunited at long last.	Hong Kong
Wild Card	2015	drama	Simon West	"Jason Statham
Michael Angarano
Stanley Tucci
Sofia Vergara"	"Nick Wild (Jason Statham) is a recovering gambling addict who takes odd jobs in Las Vegas as a ""chaperone"" (his version of a bodyguard) to support his addiction. After helping a client impress a woman (Sofía Vergara), he accepts a proposition from a young man Cyrus Kinnick (Michael Angarano) to show him around Vegas and provide him with protection while he gambles.
While eating at a diner, Nick's waitress friend Roxy (Anne Heche) hands him a message from a woman he knows, Holly (Dominik Garcia-Lorido), who wants him to stop by her house. Holly, a professional escort, explains she had a date the previous night at the Golden Nugget. Afterward, she was brutally raped and beaten by three unknown men in their hotel room. Holly asks Nick to find out who they are so that she can sue them.
Nick discovers that the man responsible for raping Holly is Danny DeMarco (Milo Ventimiglia), a gangster. DeMarco had his two thugs dump her in a hospital car park. Nick goes to the hotel to confront DeMarco, disguised as someone sent by another criminal. A confrontation develops but Nick defends himself, overpowering DeMarco and his men, who are tied up as Nick calls Holly. In the room, Holly contemplates castrating DeMarco, who breaks down and begs her forgiveness, Holly decides to take the $50,000 from DeMarco's desk and leaves.
Holly splits the money with Nick and leaves Las Vegas. Nick takes Cyrus to a casino. Playing blackjack with dealer friend Cassandra (Hope Davis), Nick then goes on a huge winning streak with the next dealer, amassing over a half a million. But when he goes to the cashier, he has a sudden anxiety attack, and loses his winnings as well as his original $25,000 on a single blackjack bet with Cassandra. The next morning, Cyrus, revealed to be a self-made millionaire, wants Nick to mentor him on being brave, but Nick declines. At the bar, DeMarco's men arrive to deliver Nick to DeMarco, but Nick beats them off.
Nick meets with Baby (Stanley Tucci), the mafia boss of Las Vegas. Baby has received a complaint from DeMarco, who claims that Nick broke into his hotel room, pistol-whipped him, and killed two of his men – all to fund his gambling addiction. Baby takes Nick to a room with DeMarco, where Nick tells his side of the story: that DeMarco killed his own men later and that DeMarco bears a cut on his penis. Baby tells DeMarco to drop his pants to prove Nick wrong, but he refuses and leaves.
At the local diner, Cyrus offers Nick a check for $500,000 and a plane ticket to Corsica for what he has learned from Nick. DeMarco and his men appear in the diner. Cyrus shows his newfound manliness by singing loudly as a distraction so Nick can escape. Nick thinks about his sailboat and then kills the thugs and DeMarco with his utensils behind the diner. Afterwards, Cyrus insists Nick take the check and the ticket, and Nick accepts. Nick then drives out of Las Vegas."	American
Free! -Take Your Marks!-	2017	drama	Eisaku Kawanami	Nobunaga Shimazaki, Tatsuhisa Suzuki, Tsubasa Yonaga, Daisuke Hirakawa, Mamoru Miyano, Yoshimasa Hosoya	"Free! Iwatobi Swim Club is set in the town of Iwatobi, Japan, which is based on the real town of Iwami, Tottori. Iwami has since used Free! to promote tourism to the town.[1][2] Free! tells the story of four members of a local swim club—Haruka, Makoto, Nagisa and Rin—before they graduate from elementary school. They participate in a swimming tournament relay and win, thereafter parting ways. Haruka and Makoto reunite with Nagisa when he enrolls at their high school. Not long after, Rin, who was thought to be in Australia, turns up and challenges Haruka to a race. He loses, but regains his desire to swim competitively, as does Haruka. At that point, Nagisa suggests creating a swim club using the school's run-down outdoor pool. Haruka, Makoto, Nagisa, and later on, Rei, create the Iwatobi High School Swimming Club, working together to make it a success. Rin joins Samezuka Academy's swim team and finally wins an official race against Haruka, but finds it means nothing to him when he learns Haruka isn't in top, competitive shape. He claims he cannot move forward in his personal quest for Olympic glory until Haruka competes against him as an equal. Rei eventually confronts Rin on his bad attitude and learns that the swimmer is bitter about his poor performance record in Australia as well as not being able to swim with his former friends. Rei gives up his spot on the team for a single relay competition in order for Rin to reunite with his former teammates, a move that restores Rin's confidence and their friendships. They win the relay, but are disqualified. Nonetheless, all is well.
Free! Eternal Summer continues the journey of both the Iwatobi and Samezuka swim teams with the Iwatobi team gaining in strength, endurance and speed. The Samezuka team welcomes new members, particularly Rin's childhood best friend, Sosuke Yamazaki. Throughout the second season, personal stories surrounding both major and minor characters' growth are showcased, as well as further tournaments with both teams advancing to National status and Iwatobi taking sixth place overall in the relay. Haruka and Makoto are accepted into Tokyo universities with dreams oriented around swimming in different capacities, Haru as a competitor and Makoto as a coach, though not without prior drama and a shift towards independence on both their parts. Nagisa and Rei continue to lead the next generation of Iwatobi swimmers with Gou and Miss Amakata. On the Samezuka side, Rin leaves to train for the Olympics in Australia under his old swimming coach while Sosuke's future remains uncertain, though Rin leaves the door open for his return to the swim world. Aiichiro Nitori becomes the new captain and Samezuka's team continues forward, as well. The season ends with a future vision of international competition that includes Rin and Haruka on the world stage and the words, ""For the Future.""
A film trilogy was released in 2017. The first film titled Free! Timeless Medley - Kizuna (Bonds) debuted in April 2017 and featured the bond between Makoto and Haruka through a compilation of scenes taken from existing footage with some newly added animation. The second film titled Free! Timeless Medley - Yakusoku (Promise) debuted in July 2017 and featured the friendship between Rin and Sosuke in a similar style as Kizuna. The third film in the trilogy titled Free! Take Your Marks! debuted in October 2017 and featured four fresh vignettes: the first focusing on Haruka's search for a Tokyo apartment with the help of Makoto and Kisumi; the second showcasing Rin, Sosuke, Momotaro and Aiichiro visiting an onsen; the third revealing Rei, Nagisa and Gou's efforts to keep the Iwatobi Swim Club alive; and the fourth a comedic sketch ending with a surprise farewell party for Rin who is heading back to Australia with serious Olympic dreams. The trilogy ends with the message, ""See You Next Stage."""	Japanese
 Partisan	2015	drama	Ariel Kleiman	Vincent Cassel	"Gregori, who operates a child assassin patriarch, adopts Alexander after seeing his mother, Susanna, without a partner at a hospital. Eleven years later, Alexander is an adept assassin running missions with other future child assassins adopted in the same manner. Gregori tells the children the world is full of terrible men which is why they must carry out their missions. Gregori teaches the children to put earplugs in during assassinations to protect their ears from the gunshot.
Leo, Alexander's friend, is critical of himself after a mock assassination. Gregori sends Alexander and a girl on a mission where he kills a mechanic. Alexander sees his mother crying due to pregnancy, after she drops a piece of meat. He goes out during a mission and buys new meat at a local grocery store. The owner treats him kindly and gives him chocolate. Leo begins to question Gregori's authority escalating to a confrontation after Leo witnesses a chicken being slaughtered. He compares the chicken to the tyrannosaurus rex, fearing its extinction. Leo disappears from the compound afterwards. Alexander begins to question everything he was taught. Susanna gives birth to a baby brother named Tobias. On Alexander's third mission he shoots a man and watches him bleed out. On his way back he meets a boy who plays with his gun before returning it to him. Alexander takes Tobias after coming home. He is confronted by Gregori as the camera pans down Alexander is seen holding his gun pointed at Gregori with earplugs in Tobias' ears."	Australian
Searchers (Maliglutit)	2016	drama	Zacharias Kunuk, Natar Ungalaaq	Benjamin Kunuk, Jocelyne Immaroitok, Karen Ivalu	"In an Inuit community, elders take note that four men, leader Kupak and followers Aulla, Tulimaaq and Timauti, are guilty of murder, lechery and not sharing food. Consequently, they are exiled from the band and left to wander the Arctic landscape. In a nearby community, Kuanana and his wife Ailla are raising children and living in their extended family. Kuanana sets out to hunt for caribou, with the elder instructing him to take the young Siku as his hunting partner, though Kuanana's son Angutii also wishes to go. While they are absent, Kupak and Aulla, longing for women, ambush Kuanana's igloo, abducting Ailla and her daughter. Kuanana and Siku return the igloo, and Kuanana is shocked to see it in ruins, and Angutii murdered. The elder, mortally wounded, tells Kuanana that men kidnapped Ailla and her daughter, and gives him a totem to summon a spirit guide, Kallulik, the loon. The elder then dies.
Kuanana calls for Kallulik's help and hears the loon cry, revealing the direction his wife and daughter were taken. Kallulik and Siku set out with sled dogs and a telescope. While Ailla and her daughter resist their captors and rapists, and attempt to escape, Kupak and Aulla continue to hold them captive. Feeling a low tone in his ear, Kupak takes the ailment as a bad omen and orders Tulimaaq to see if they are being followed. Kuanana spots them by telescope, and Tulimaaq also sees Kuanana is in pursuit.
Armed with a rifle, Kuanana decides he and Siku will split up, assuring Siku that he can take a passage himself. Kuanana discovers his daughter, tied up alone, and unties her and tells her to hide behind the nearby ridge; she also tips him off as to Ailla's whereabouts. Tulimaaq and Timauti are dispatched. Siku is attacked by Aulla, but coming from behind, Kuanana shoots Aulla and saves Siku. Kuanana then tells Siku to rescue his sister behind the ridge, while Kuanana himself searches for Ailla. Out of bullets, Kuanana is attacked by Kupak; they fight by hand until Ailla emerges from behind, stabbing and killing Kupak. The family is reunited."	Canadian
